iter	Passed	Remaining
0	36	14487
1	74	14851
2	112	14862
3	150	14907
4	189	15008
5	229	15054
6	267	15012
7	308	15115
8	346	15069
9	389	15181
10	429	15190
11	471	15236
12	512	15242
13	552	15219
14	591	15191
15	631	15144
16	671	15122
17	709	15051
18	748	15011
19	788	14976
20	828	14955
21	868	14921
22	909	14915
23	951	14914
24	990	14864
25	1031	14842
26	1074	14847
27	1114	14809
28	1153	14755
29	1191	14693
30	1231	14656
31	1270	14616
32	1310	14578
33	1351	14549
34	1390	14501
35	1430	14468
36	1470	14428
37	1512	14408
38	1550	14354
39	1588	14300
40	1627	14253
41	1668	14220
42	1706	14166
43	1745	14126
44	1785	14086
45	1823	14030
46	1862	13985
47	1903	13960
48	1945	13938
49	1985	13895
50	2025	13861
51	2066	13827
52	2108	13807
53	2151	13783
54	2192	13753
55	2237	13745
56	2284	13745
57	2330	13741
58	2380	13759
59	2439	13823
60	2496	13875
61	2554	13924
62	2611	13967
63	2663	13985
64	2716	14000
65	2768	14011
66	2820	14016
67	2873	14029
68	2932	14066
69	2995	14121
70	3053	14149
71	3108	14158
72	3160	14155
73	3213	14158
74	3268	14165
75	3329	14194
76	3395	14241
77	3458	14277
78	3519	14300
79	3577	14310
80	3631	14303
81	3686	14295
82	3739	14283
83	3799	14294
84	3858	14297
85	3913	14290
86	3970	14284
87	4027	14280
88	4090	14292
89	4142	14268
90	4203	14274
91	4264	14276
92	4329	14292
93	4388	14286
94	4443	14265
95	4495	14235
96	4546	14203
97	4600	14176
98	4662	14176
99	4719	14157
100	4771	14125
101	4825	14096
102	4880	14071
103	4929	14030
104	4977	13983
105	5027	13945
106	5076	13901
107	5126	13859
108	5183	13838
109	5241	13818
110	5303	13807
111	5361	13786
112	5412	13746
113	5465	13710
114	5517	13674
115	5565	13625
116	5614	13581
117	5666	13541
118	5722	13511
119	5780	13487
120	5839	13465
121	5901	13447
122	5951	13404
123	6012	13382
124	6155	13543
125	6209	13504
126	6263	13463
127	6314	13419
128	6366	13375
129	6417	13327
130	6468	13282
131	6519	13235
132	6569	13188
133	6617	13136
134	6666	13086
135	6715	13035
136	6766	12989
137	6819	12947
138	6870	12900
139	6924	12860
140	6978	12819
141	7032	12777
142	7082	12729
143	7137	12688
144	7191	12646
145	7247	12609
146	7303	12570
147	7350	12515
148	7396	12460
149	7443	12406
150	7490	12351
151	7538	12299
152	7587	12248
153	7635	12197
154	7685	12147
155	7734	12097
156	7783	12046
157	7830	11993
158	7877	11939
